proteinA	proteinB
moaE	mobB
mobB	mobB
moeA	mobB
narG	mobB
fic	modB
groL	modC
ilvC	modF
modE	modF
moeA	moeA
pfkA	moeA
mobB	mog
moeA	mog
narG	mog
yebC	mog
fliG	motA
rpoD	motA
secA	motA
fliG	motB
motA	motB
mpl	mpl
mraZ	mraZ
yjeF	mraZ
ftsI	mrcB
mipA	mrcB
mrcB	mrcB
mreC	mreB
setB	mreB
ligA	mreC
mreC	mreD
glgX	msrA
ftsI	mtgA
ftsN	mtgA
ftsW	mtgA
mtgA	mtgA
groL	mtlA
mtlA	mtlA
recJ	mtlD
selA	mtlD
ydeP	mtlD
aceB	mukB
ftsZ	mukB
tufB	mukB
mukB	mukE
mukE	mukF
emrY	murB
murC	murB
ydaY	murB
glmM	murC
murC	murC
tufB	murC
murD	murD
sgcE	murD
trxC	murD
carA	murE
pepP	murE
pnp	murE
gltD	murF
mukB	murF
murF	murF
polA	murF
yedV	murF
fimD	murG
hyfB	murG
murE	murG
ydbA	murG
yphH	murG
murI	murI
tufB	murI
yggT	murI
yigA	murI
mutL	mutH
mutL	mutL
tufB	mutL
mutH	mutS
mutL	mutS
mutS	mutS
tufB	mutS
mutT	mutT
nei	mutY
prsA	nac
nadB	nadA
dnaK	nadC
araB	nadE
nadE	nadE
pgm	nadE
sdhA	nadE
trxB	nadE
yfbG	nadE
birA	nanE
napD	napA
panC	napA
ushA	napA
napC	napC
napH	napC
yajQ	napD
napH	napH
groL	narG
moeA	narG
narH	narG
narW	narG
rpsD	narG
tufB	narG
narZ	narH
tufB	narH
ybhK	narI
narG	narJ
narZ	narJ
lolD	narP
narQ	narP
narL	narQ
narG	narW
narH	narW
narW	narW
narY	narW
narZ	narW
narL	narX
fadH	narY
narG	narY
narH	narY
pepN	narY
narW	narZ
ygfA	ndk
groL	nei
nfi	nfi
phr	nfi
nfnB	nfnB
nfrA	nfrA
dnaK	nfsA
holA	nfsA
pheS	nfsA
xerC	nfsA
yibT	nfsA
groL	nhaR
tufB	nikA
dnaE	nikD
groL	nikD
pdxH	nikD
ydcJ	nikD
yecI	nikD
nikE	nikE
rpsG	nikE
rpsH	nikE
secA	nikE
srmB	nikE
tufB	nikE
galE	nikR
grxA	nikR
hcaD	nikR
moaE	nikR
tufB	nikR
ypdE	nikR
ibpB	nlpI
prc	nlpI
gph	lfhA
yggH	lfhA
cheA	lafU
ydbK	lafU
yncK	lomR
asnA	yeeL
fliK	yghX
ebgA	glvG
yhgG	ilvG
priC	nohB
secA	norV
nrdB	nrdA
tufB	nrdA
dnaK	nrdB
nrdB	nrdB
nadE	nrdD
nrdD	nrdD
nrdG	nrdD
nrdA	nrdE
nrdF	nrdE
nrdA	nrdF
nrdH	nrdF
rffT	nrdF
ydgC	nrdF
dapE	nrdG
nrdG	nrdG
trxB	nrdH
aceE	nth
fldA	nudH
yodA	nudH
nuoC	nuoB
hcr	nuoE
holA	nuoE
mutM	nuoE
nuoE	nuoE
nuoG	nuoE
pbpG	nuoE
hflX	nuoG
nuoC	nuoG
nuoE	nuoG
nuoG	nuoG
ftn	nuoK
rpoA	nusA
yfiP	nusA
rpsJ	nusB
crp	nusG
rho	nusG
sgcA	nusG
yjgZ	nusG
prlC	obgE
rluD	obgE
ompA	ompA
ttdA	ompA
tolA	ompF
ydiF	ompF
ompR	ompR
rbsK	ompR
frdB	ompW
yejF	oppD
cysM	oppF
osmC	osmC
oxc	oxc
dnaA	oxyR
accD	paaC
bolA	paaC
citB	paaC
wcaC	paaC
yidB	paaC
citB	paaD
ftsQ	paaD
srlA	paaD
ymbA	paaD
argK	paaG
citE	paaG
malT	paaG
oppF	paaG
priC	paaG
sdhA	paaG
ybcY	paaG
ycbW	paaG
aceF	paaX
atpG	paaX
cpxA	paaX
envR	paaX
ftsN	paaX
glvB	paaX
gspH	paaX
rpsG	paaX
tolR	paaX
fliG	pabA
pabB	pabA
rsgA	pabB
ahpC	pabC
pabC	pabC
pgk	pabC
lpp	pal
ompA	pal
tolA	pal
tolB	pal
panC	panB
yfcD	panC
tolB	panE
seqA	parC
dhaK	parE
ftsK	parE
parE	parE
secA	parE
ynbC	parE
ribD	pbpC
pdxA	pdxA
osmC	pdxK
yeeU	pdxK
holA	pepB
pepE	pepB
guaC	pepD
hscB	pepD
pepD	pepD
pepP	pepD
fadH	pepN
groL	pepN
hyfG	pepN
narG	pepN
narH	pepN
narW	pepN
narZ	pepN
pepN	pepN
uvrD	pepN
yfcX	pepN
rluD	pepQ
intB	pepT
pepT	pepT
pflB	pepT
tpiA	pepT
tufB	pepT
metN	perR
mntR	perR
perR	perR
ucpA	pfkA
ydcY	pflA
yffB	pflA
cca	pflB
helD	pflB
mgtA	pflB
tpiA	pflB
ydgK	pflB
pgi	pgi
usg	pgk
pgm	pgm
tiaE	pgm
groL	pheS
pheS	pheS
pheT	pheS
groL	pheT
pheS	pheT
pheT	pheT
rpsB	pheT
secD	pheT
yjcQ	pheT
groL	phnC
phnH	phnH
hemN	phnI
groL	phnL
phnK	phnL
slyD	phnP
dnaK	phoA
secA	phoA
tufB	phoA
ompR	phoB
phoB	phoB
pqqL	phoB
rplX	phoB
rpmE	phoB
secA	phoE
yaeT	phoE
phoP	phoP
phoQ	phoP
glpD	phoU
groL	php
phr	phr
aceF	pinR
yhjC	pldA
cmk	pldB
dmsA	pldB
fldA	pldB
folA	pldB
ybaA	pldB
ybfE	pldB
yebC	pldB
ygfB	pldB
ygiT	pldB
yifE	pldB
yjgA	pldB
acpP	plsB
plsB	plsB
ybgC	plsB
rhlB	pnp
rne	pnp
pntA	pntA
aceF	polA
cueR	polA
tufB	polA
glyQ	polB
accA	potA
groL	potA
potF	potF
potH	potG
yfbM	potG
yihL	potG
aceE	poxA
entE	poxB
uvrA	ppc
groL	pphA
fucK	ppiB
rhsC	ppiB
ppiC	ppiC
ygaF	ppiC
yfbV	ppk
rplB	pps
ppx	ppx
uvrD	pqiB
glyQ	prc
prmC	prfA
parE	prfB
polA	prfB
prfC	prfB
rplB	prfB
rpsF	prfB
ycfX	prfB
yeiT	prfB
ynfE	prfB
hybD	prfC
pfkA	prfC
yccT	prfH
holC	priA
tufB	priA
yfaX	priC
stfR	prmB
yejF	prmB
yncC	prmB
lpxD	proA
nrdA	proA
pepT	proA
proA	proA
proS	proA
bioB	proQ
bipA	proQ
cmk	proQ
cspA	proQ
cysM	proQ
deoB	proQ
dksA	proQ
evgA	proQ
fabA	proQ
fdx	proQ
fldA	proQ
fmt	proQ
folA	proQ
hslR	proQ
idnO	proQ
insO	proQ
murB	proQ
nikR	proQ
NoData	proQ
NoData	proQ
NoData	proQ
proC	proQ
recF	proQ
rep	proQ
rimM	proQ
tilS	proQ
truA	proQ
truD	proQ
trxB	proQ
uhpA	proQ
yaiE	proQ
ybfE	proQ
ybjM	proQ
ydcY	proQ
yedJ	proQ
yeeW	proQ
yffB	proQ
ygfB	proQ
yhbW	proQ
yhiQ	proQ
yicS	proQ
yigL	proQ
yjcB	proQ
fliG	proS
groL	proS
rpe	proS
mltA	proV
proV	proV
groL	prpR
groL	prsA
mraW	prsA
sbcC	prsA
crl	pspA
pspA	pspB
pspA	pspC
xseA	pspE
pspA	pspF
lpxD	pssA
pnp	pssA
rpsG	pssA
topA	pssA
napD	pta
prsA	pth
crr	ptsG
bolA	ptsH
crr	ptsH
idnK	ptsH
mtlR	ptsH
rsd	ptsH
helD	ptsI
ptsH	ptsI
hybE	ptsN
kdpD	ptsN
ygdR	ptsN
rspA	purA
aceE	purB
groL	purC
purH	purH
purN	purN
yebV	purR
ispA	purT
purT	purT
groL	purU
rfbB	putA
yheS	putA
putP	putP
dhaR	puuC
envR	puuD
pflB	pykA
pykA	pykA
usg	pykA
yggR	pykA
pyrI	pyrB
iscS	pyrE
pyrG	pyrG
deoD	pyrH
dnaK	qor
qor	qor
ygdH	qor
qseB	qseB
murC	racC
dhaK	rbbA
nadE	rbfA
hycA	rbsA
mglB	rbsA
phnG	rbsA
rbsA	rbsA
alsB	rbsB
htrE	rbsB
ileS	rbsB
leuS	rbsB
ligA	rbsB
rbsB	rbsB
topA	rbsB
ybhK	rbsB
yjgL	rbsB
rbsB	rbsC
prsA	rbsK
groL	rbsR
lon	rcsA
rcsB	rcsB
rcsB	rcsD
prsA	rdgC
lexA	recA
malT	recA
aceF	recB
recC	recB
recD	recB
tufB	recB
groL	recD
recC	recD
topB	recD
ligA	recE
groL	recF
aceF	recG
aceF	recJ
galR	recJ
topA	recJ
topB	recJ
tufB	recJ
recF	recO
aceF	recQ
holC	recQ
holD	recQ
topA	recQ
topB	recQ
recF	recR
recO	recR
fldA	recX
recA	recX
relB	relB
relE	relB
rep	rep
uvrD	rep
rplB	rfaB
groL	rfaD
iclR	rfaD
lysR	rfaJ
topA	rfaL
groL	rfaQ
rfbB	rfbB
groL	rffH
manX	rffM
rpoD	rhaR
rpoD	rhaS
rhlB	rhlB
cspA	rhlE
phoR	rhlE
rho	rho
tufB	rho
yiiM	rho
ilvC	rhsC
ppiB	rhsC
yjdA	rhsC
dnaE	rhsD
pyrF	ribA
cysJ	ribB
ribB	ribB
accC	ribD
groL	ribD
ribD	ribD
rpsG	ribD
smpA	ribD
aceE	ribF
murF	rihC
yeaZ	rimI
folX	rimJ
groL	rimJ
rpsE	rimJ
livF	rimM
rpsS	rimM
mcrB	rlmB
yjeF	rlmB
tolB	rlpA
uhpA	rlpB
aat	rluA
aidB	rluB
alaS	rluB
hrpA	rluB
lpxD	rluB
pnp	rluB
pssA	rluB
rne	rluB
rpsF	rluB
rpsG	rluB
selB	rluB
srmB	rluB
topA	rluB
ygiF	rluB
yhiR	rluB
ytjC	rmuC
rnb	rnc
ugpQ	rnc
groL	rnd
rhlB	rne
tufB	rne
frlD	rng
murI	rnk
radA	rnk
cca	rnr
pgm	rnr
pssA	rnr
rluB	rnr
rne	rnr
rplO	rnr
rpsF	rnr
rpsG	rnr
selB	rnr
ycbY	rnr
ygiF	rnr
aceF	rnt
yeiR	rnt
rho	rof
yccK	rof
dnaN	rpe
frlD	rpe
rpe	rpe
dnaG	rplA
intA	rplB
metG	rplB
rpsH	rplB
yncC	rplC
coaD	rplD
gadE	rplF
rpiB	rplJ
prmA	rplK
crp	rplL
moaD	rplL
nikR	rplL
rplJ	rplL
xylF	rplL
ycfM	rplL
ydcY	rplM
yedM	rplN
dnaA	rplO
paaX	rplO
pnp	rplO
rpoD	rplO
rpsH	rplO
selB	rplO
hypF	rplR
yjeO	rplR
nanE	rplS
rpsH	rplU
rpsE	rplW
yjgL	rplW
dnaK	rplY
fldA	rpmA
gyrA	rpmA
sgbE	rpmA
ygiT	rpmA
rpmF	rpmB
entF	rpmE
gmhB	rpmI
ppk	rpmI
yfjK	rpmI
gyrA	rpmJ
crp	rpoA
dfp	rpoA
mfd	rpoB
adk	rpoC
ada	rpoD
chbR	rpoD
crp	rpoD
hscC	rpoD
idnK	rpoD
pepB	rpoD
rpoA	rpoD
rpoC	rpoD
rpoD	rpoD
rpsF	rpoD
rpsG	rpoD
rsd	rpoD
secE	rpoD
ypdC	rpoD
cheR	rpoE
fliN	rpoE
rpe	rpoE
rpoE	rpoE
rseA	rpoE
topA	rpoE
dnaJ	rpoH
dnaK	rpoH
groL	rpoH
grpE	rpoH
pspF	rpoN
yraM	rpoN
crl	rpoS
rssB	rpoS
glmU	rpsB
iclR	rpsC
ygdI	rpsC
yifL	rpsC
ymfJ	rpsC
fldA	rpsD
rng	rpsD
rpsH	rpsD
fldA	rpsE
rnb	rpsE
dnaX	rpsF
iclR	rpsF
rne	rpsF
rpsR	rpsF
selB	rpsF
trmE	rpsF
uvrD	rpsF
dusC	rpsG
helD	rpsG
iclR	rpsG
infC	rpsG
mukB	rpsG
pnp	rpsG
rne	rpsG
rsgA	rpsG
selB	rpsG
topA	rpsG
trmE	rpsG
uvrD	rpsG
ydcP	rpsG
fliI	rpsH
pntA	rpsH
rpmF	rpsH
rpsH	rpsH
yfaY	rpsH
ygeV	rpsH
frvA	rpsI
ymfJ	rpsI
rsuA	rpsJ
prfA	rpsL
rpsH	rpsR
cheA	rpsS
fliG	rpsS
gyrA	rpsS
rpoE	rpsS
rpsH	rpsS
rpsH	rpsU
rne	rraA
pgpB	rrmA
rpoD	rsd
rsd	rsd
rpoE	rseA
rseA	rseB
groL	rsgA
ydaY	rsgA
yjiT	rsgA
groL	rspA
asr	rspB
groL	rssA
ynfE	rssB
kdpE	rstA
rstA	rstA
rstB	rstA
topA	rstA
bcsA	rsxG
rsxG	rsxG
cusB	rtcB
ruvA	ruvA
ruvB	ruvA
cheR	ruvB
groL	ruvC
lnt	rzpR
rplK	rzpR
xerC	rzpR
ybiT	sapF
ycdP	sapF
holC	sbcB
recJ	sbcB
rluA	sbcD
thiL	sbcD
gyrA	sbmC
trxB	sbmC
narJ	sdhA
polB	sdhA
groL	sdhB
hslR	sdhB
sdhA	sdhB
yihL	sdhB
sdhB	sdhC
exo	sdiA
pfs	sdiA
prfB	sdiA
secA	secA
secY	secA
tufB	secA
groL	secB
ompA	secB
secA	secB
yidC	secD
secA	secE
secE	secE
secY	secE
secD	secF
secA	secG
secY	secG
aceF	selB
serC	selB
ydcP	selB
seqA	seqA
nadE	serB
dnaK	serC
serS	serS
apaH	sfmA
cysM	sfmA
ddlB	sfmA
galE	sfmA
glgX	sfmA
hypF	sfmA
kptA	sfmA
murA	sfmA
xylH	sfmA
yccX	sfmA
yheS	sfmA
yiiT	sfmA
ynaI	sfmA
proA	sfsA
yehT	sfsA
groL	sgbH
nudF	sgbH
groL	sgcQ
groL	sgcR
slp	slp
mltB	slt
hypB	slyD
murD	slyD
smpB	smpB
cyaA	sohA
mutM	sohA
yhdE	sohA
rpoA	soxS
ytfK	soxS
speA	speA
dapD	speB
acpP	spoT
groL	sppA
yejK	spy
ptsG	srlB
ptsH	srlB
pflB	srlR
rplO	srlR
ynbC	srlR
pnp	srmB
rne	srmB
selB	srmB
srmB	srmB
topA	srmB
tufB	srmB
yodC	srmB
dnaX	ssb
groL	ssb
recF	ssb
recO	ssb
dinD	sseB
yhiQ	sseB
uvrD	ssnA
sspA	sspA
clpX	sspB
cysM	ssuB
mntR	ssuD
minD	stfQ
dhaH	stfR
ssuE	stfR
yjeH	stfR
hns	stpA
sucA	sucA
sucB	sucA
sucB	sucB
sucC	sucD
sufC	sufB
sufD	sufB
sufD	sufC
sufI	sufI
tatC	sufI
yfbN	sufI
sufE	sufS
envR	suhB
gltF	suhB
ptsN	suhB
yhcF	suhB
ftsZ	sulA
hslU	sulA
lon	sulA
secY	syd
aceE	tag
yggC	talA
cheA	tar
cheW	tar
cheZ	tar
tar	tar
tatA	tatB
tatA	tatC
tatB	tatC
crl	tatE
tnaA	tauA
modC	tdcG
vacJ	tdcG
groL	tdh
atpA	tfaE
galE	tfaE
galK	tfaE
glnL	tfaE
grxA	tfaE
mhpB	tfaE
rpmE	tfaE
yaiA	tfaE
ybdH	tfaE
ybeM	tfaE
ycbC	tfaE
yggU	tfaE
yhiQ	tfaE
yjcB	tfaE
ypdE	tfaE
ytfQ	tfaE
groL	thiD
citX	thiF
nrdD	thiF
groL	thiG
groL	thiH
groL	thrS
rplA	thrS
thrS	thrS
dnaK	tig
rbsA	tig
tilS	tilS
yhiF	tilS
dnaK	tnaA
tnaA	tnaA
ompC	tolA
phoE	tolA
btuB	tolB
fecA	tolB
ompC	tolB
ompF	tolB
phoE	tolB
tolA	tolB
tolC	tolB
acrA	tolC
tolA	tolQ
tolQ	tolQ
tolA	tolR
tolQ	tolR
rfbB	tonB
aceF	topA
holC	topA
rbsB	topA
topB	topA
ybhK	topA
yigZ	topA
aceF	topB
frlR	topB
holC	topB
holD	topB
hscC	topB
torC	torA
torD	torA
lpxB	torC
rzpR	torD
yfgM	torD
yidL	torD
sixA	torI
rplB	torR
torR	torR
torC	torS
torR	torS
phnJ	tpiA
dps	tpx
frr	tpx
yjgI	treR
frlD	trg
mglB	trg
rne	trmA
polA	trmC
trmD	trmD
gidA	trmE
secA	trmE
ycdP	trmE
aroE	trmH
def	trmH
holA	trmH
nlpA	trmH
pyrC	trmH
trmH	trmH
ybjN	trmH
prlC	trmU
secA	trmU
trpA	trpA
vacJ	trpB
bioB	trpE
cyaA	trpE
mhpE	trpE
yiiT	trpE
gatY	truA
cysN	truD
ygeH	truD
ptsP	trxA
wbbL	trxA
bolA	trxB
trxA	trxB
ptsP	trxC
ydfT	trxC
groL	ttdB
tsf	tufB
dnaB	tus
lpxD	tyrA
groL	tyrB
aceE	ubiC
aceF	ubiC
ubiC	ubiC
def	ubiF
hisF	ubiF
insO	ubiF
metR	ubiF
ubiF	ubiF
yqjG	ubiF
putP	ubiG
rplV	ubiG
trpC	ubiG
trxB	ubiG
ydiU	ubiG
citC	ubiH
mhpF	ubiH
rfaD	ubiH
rimM	ubiH
trmE	ubiH
ubiG	ubiH
ybiH	ubiH
ybjM	ubiH
udk	udk
dnaK	ugpB
nadE	uidA
uidR	uidR
prfB	ulaA
dnaK	ulaB
groL	ulaE
groL	ulaR
groL	umuC
seqA	umuC
accD	umuD
clpX	umuD
dnaN	umuD
hdfR	umuD
moaE	umuD
recA	umuD
ubiE	umuD
ugpQ	umuD
umuC	umuD
umuD	umuD
ybcY	umuD
ygjR	umuD
ndk	ung
upp	upp
def	usg
tufB	usg
ybbN	usg
yhcC	usg
yibA	usg
panC	ushA
uspA	uspA
yiiT	uspA
yjiA	uspA
groL	uspG
rho	uspG
secA	uspG
tufB	uspG
udk	uspG
recC	uvrA
ihfA	uvrB
nrdE	uvrB
priC	uvrB
seqA	uvrB
ugd	uvrB
uvrA	uvrB
uvrB	uvrB
ycbG	uvrB
yccK	uvrB
yciF	uvrB
yijO	uvrB
uvrB	uvrC
uvrC	uvrC
mutL	uvrD
mutS	uvrD
oppA	uvrD
secA	uvrD
nadE	uxuA
groL	vacJ
tufB	valS
valS	valS
ftsQ	vsr
mutL	vsr
metN	wcaC
yfgB	wcaD
dapE	wcaE
rsgA	wcaJ
pepT	wcaL
yegW	xapR
eutQ	xdhC
hcr	xdhC
ftsK	xerD
xerD	xerD
yebV	xseB
aceF	xthA
malP	xthA
tufB	xylA
yjcP	xylB
fepE	yaaA
groL	yaaA
crp	yacL
rnpA	yacL
aceF	yadB
gadB	yadG
hisD	yadG
def	yaeB
trxB	yaeB
yfgL	yaeT
ppk	yafC
bioB	yafJ
cyaA	yafJ
hdfR	yafJ
leuB	yafJ
murI	yafJ
narP	yafJ
NoData	yafJ
pheS	yafJ
ppk	yafJ
thiL	yafJ
yhhK	yafL
groL	yafM
prsA	yafN
hypE	yafY
groL	yagA
atpH	yagT
proX	yagT
yiiT	yagT
yagU	yagU
ispG	yagY
bglG	yahB
yahF	yahE
adiA	yahF
mhpA	yahG
phoB	yahG
ycbL	yahJ
araG	yahK
metQ	yahK
murE	yahN
NoData	yahO
rssB	yaiB
glpD	yaiI
uup	yaiP
rsgA	yaiW
acrB	yajC
secA	yajC
secY	yajC
yajC	yajC
argK	yajL
folA	yajL
dnaN	yajQ
frc	ybaD
hisP	ybaD
phnO	ybaD
ybaD	ybaD
ychJ	ybaD
rsgA	ybaL
csrA	ybaM
prsA	ybaQ
tufB	ybaX
sixA	ybaY
sucB	ybaY
ftsH	ybbK
groL	ybbL
ybbL	ybbL
dnaN	ybbN
groL	ybbN
groS	ybbP
mtlD	ybbP
allC	ybbS
nadE	ybcO
yeiG	ybcQ
ompA	ybcS
fruB	ybcW
nadE	ybdB
ybdB	ybdB
lplA	ybdH
ybdH	ybdH
adk	ybdL
cyoB	ybdL
ybdL	ybdL
argK	ybdM
eutA	ybdM
eutI	ybdM
fliT	ybdM
glcD	ybdM
glyQ	ybdM
grxA	ybdM
hcp	ybdM
hcr	ybdM
hslR	ybdM
idnK	ybdM
malT	ybdM
nadA	ybdM
rimM	ybdM
rnk	ybdM
rraA	ybdM
uvrB	ybdM
ybdM	ybdM
ybdN	ybdM
ybjN	ybdM
ycbW	ybdM
yicS	ybdM
rpsB	ybeA
tufB	ybeD
atpA	ybeQ
evgA	ybeQ
priC	ybeQ
ybdM	ybeQ
ycbG	ybeQ
ytfQ	ybeQ
rsgA	ybeR
ybeY	ybeZ
groL	ybfF
minD	ybfH
rplW	ybgC
secA	ybgC
apaH	ybgD
araC	ybgD
argC	ybgD
aroB	ybgD
cysM	ybgD
ddlB	ybgD
glgX	ybgD
hyi	ybgD
insO	ybgD
kdsD	ybgD
kdtA	ybgD
kptA	ybgD
mutT	ybgD
NoData	ybgD
pdxA	ybgD
purM	ybgD
secA	ybgD
thiP	ybgD
ybhG	ybgD
yciX	ybgD
yicS	ybgD
ytfB	ybgD
tolA	ybgF
cysM	ybgK
aceE	ybhF
basS	ybhK
ftsK	ybhK
ileS	ybhK
leuS	ybhK
rpsF	ybhK
rpsG	ybhK
secA	ybhK
valS	ybhK
ybhK	ybhK
yfaW	ybhK
yjiQ	ybiA
ybiC	ybiC
hypF	ybiH
ybiH	ybiH
yohN	ybiS
secA	ybiU
proV	ybjE
rfaD	ybjQ
aceF	ybjX
dnaJ	ybjX
pssA	ybjX
rluB	ybjX
rnr	ybjX
rplO	ybjX
rpsF	ybjX
rpsG	ybjX
srmB	ybjX
tufB	ybjX
yecE	ycaC
mpl	ycaJ
hybG	ycaL
hypE	ycaL
alsA	ycaO
secA	ycaO
uspG	ycaO
yfcY	ycaO
yjcP	ycaQ
sucB	ycbB
accD	ycbG
asr	ycbG
era	ycbG
fecB	ycbG
rpoE	ycbG
ygiT	ycbG
groL	ycbJ
fliM	ycbL
artP	ycbW
bglG	ycbW
entB	ycbW
gshB	ycbW
hisP	ycbW
htpG	ycbW
hypF	ycbW
mhpF	ycbW
ppk	ycbW
uhpA	ycbW
ycbW	ycbW
yeaI	ycbW
yjeO	ycbW
yjgZ	ycbW
yrdD	ycbW
cysJ	ycbX
tolB	ycbX
ycbX	ycbX
bipA	ycbY
fliG	ycbY
hepA	ycbY
manA	ycbY
pssA	ycbY
rluB	ycbY
rne	ycbY
srmB	ycbY
ynbC	ycbY
cobB	yccR
slyB	yccT
stpA	yccT
ybcY	yccT
ydjH	yccT
rplL	yccU
era	ycdC
kdsB	ycdC
sgcA	ycdC
yjgZ	ycdC
ycdP	ycdP
flgK	ycdW
aceF	yceA
yfjN	yceA
pyrC	yceD
tufB	ycfH
lolE	ycfL
fliG	ycfM
leuO	ycfM
lpxB	ycfM
pbpG	ycfM
tolB	ycfM
yjbM	ycfM
ynaI	ycfM
frr	ycfP
smg	ycfP
tpx	ycfP
wbbK	ycfP
lpd	ycgE
aceF	ycgF
groL	ycgF
dnaK	ycgK
groL	ycgR
nadE	yciE
yciF	yciF
ydaC	yciG
yebV	yciT
aceE	yciU
yciU	yciU
fdx	yciV
groL	ycjS
ycjW	ycjW
ygcJ	ycjW
maeB	ycjZ
aceF	ydaM
tufB	ydaM
lepA	ydaN
ydaN	ydaN
groL	ydaO
srlR	ydaT
ydaV	ydaV
fldA	ydaW
thiL	ydaW
murE	ydaY
uup	ydaY
yeeN	ydaY
cheR	ydbK
flgH	ydbK
flgJ	ydbK
flhD	ydbK
topA	ydbK
ydbK	ydbK
yjeK	ydbK
rfaS	ydcC
rplB	ydcF
holA	ydcK
rpsH	ydcM
recN	ydcP
yncN	ydcQ
groL	ydcR
pflA	ydcY
yggL	ydcY
frdA	ydcZ
entE	yddH
gmhB	yddH
yrdD	yddH
yeiR	yddL
flgJ	ydeH
fliZ	ydeH
groL	ydeM
fldA	ydeO
fecB	ydeP
fkpA	ydeV
ybjN	ydfE
ydfG	ydfG
groL	ydfH
gltX	ydfR
manA	ydfT
alsB	ydfU
speA	ydfU
envR	ydfZ
ydgA	ydgA
fepE	ydgH
yncK	ydgH
ytfK	ydgH
ydgJ	ydgJ
hns	ydgT
stpA	ydgT
kdsB	ydhM
tufB	ydhQ
dnaK	ydhR
nadE	ydhS
ebgA	ydhU
galE	ydhY
yfdX	ydhY
murI	ydiA
rluD	ydiA
ydiA	ydiA
yfcL	ydiA
yrbB	ydiA
cchB	ydiE
fecB	ydiE
moaE	ydiE
uvrB	ydiE
ybjN	ydiE
ygiT	ydiE
groL	ydiF
yaiI	ydiL
bglG	ydiM
entE	ydiR
sdhC	ydiR
ydiQ	ydiR
ygiT	ydiR
groL	ydiU
lpd	ydjF
dsbG	ydjI
ydeP	ydjI
ydjL	ydjL
groL	ydjQ
ffh	yeaA
yheS	yeaA
pheT	yeaJ
ycbR	yeaK
rcsB	yeaO
leuS	yeaP
uidR	yeaP
trxB	yeaR
groL	yeaU
tufB	yeaU
yeaZ	yeaZ
ygjD	yeaZ
puuE	yebE
intQ	yebK
rcsD	yebS
fucI	yebT
ygbT	yebT
yebV	yebV
araC	yebW
idnD	yecC
groL	yecE
uspA	yecE
yecE	yecE
accD	yecG
hypF	yecG
moaE	yecG
yfcN	yecG
yrdD	yecG
aroE	yedE
groL	yedL
nanE	yedO
yedI	yedP
yedW	yedV
ygbT	yedV
yedW	yedW
ynbC	yedW
aroB	yeeD
clpB	yeeD
cysM	yeeD
dapE	yeeD
ddlB	yeeD
evgA	yeeD
frwB	yeeD
gabT	yeeD
garL	yeeD
glxR	yeeD
hyi	yeeD
insO	yeeD
murA	yeeD
thiL	yeeD
treR	yeeD
truA	yeeD
yahK	yeeD
yedX	yeeD
yhiQ	yeeD
yicS	yeeD
yncK	yeeD
dgsA	yeeI
fic	yeeR
murE	yeeU
nadE	yeeU
fliK	yeeW
holA	yeeW
yeeN	yeeZ
astC	yegS
dcrB	yegS
ybaX	yegT
holA	yehB
NoData	yehD
fecB	yehR
idnO	yehR
NoData	yehR
pbpG	yehR
pdxK	yehR
ybgD	yehR
proA	yehT
yehT	yehT
bolA	yehY
dppB	yehY
yehY	yehY
mhpF	yeiA
yeiT	yeiA
yfgB	yeiJ
pncB	yeiM
entB	yeiR
hslR	yeiR
sixA	yeiR
yibT	yeiR
ymbA	yeiR
uup	yeiT
clpA	yeiW
galE	yeiW
hcr	yeiW
hpt	yeiW
insO	yeiW
mhpB	yeiW
mhpF	yeiW
nikR	yeiW
yaiE	yeiW
ybdH	yeiW
ybdL	yeiW
yccX	yeiW
ydcF	yeiW
yhaJ	yeiW
yicS	yeiW
dnaE	yejF
tufB	yejF
arcB	yejG
carA	yejG
dnaN	yejG
fsaB	yejH
groL	yfaX
yfaX	yfaX
evgA	yfbB
glxK	yfbF
crp	yfbG
ynbC	yfbG
groL	yfbH
artP	yfbN
pyrC	yfbN
rpmD	yfbN
yffI	yfbN
tufB	yfbQ
cbpA	yfbT
pta	yfbT
murC	yfcC
panC	yfcD
fliM	yfcL
ydbD	yfcL
dppF	yfcM
ilvN	yfcM
rhoL	yfcM
ubiF	yfcM
yggT	yfcM
cyaY	yfcQ
frwB	yfcQ
glgX	yfcQ
NoData	yfcQ
trpR	yfcQ
yciX	yfcQ
ygbF	yfcQ
yheS	yfcQ
yifE	yfcQ
yjfN	yfcQ
ymfH	yfcQ
cysM	yfcR
NoData	yfcR
sfcA	yfcR
yheS	yfcR
NoData	yfcV
aceF	yfcX
yfcX	yfcY
ybhK	yfdE
era	yfdF
yfcX	yfdH
rplB	yfdP
dnaA	yfdR
yfdZ	yfdZ
ypdE	yfdZ
metN	yfeA
mfd	yffB
yffB	yffB
eutL	yffI
mreB	yfgA
aas	yfgB
aceF	yfgB
dnaJ	yfgB
gatY	yfgB
hrpA	yfgB
malT	yfgB
nuoC	yfgB
ompC	yfgB
phoE	yfgB
phoR	yfgB
pnp	yfgB
rluB	yfgB
rne	yfgB
rnr	yfgB
rplO	yfgB
rpsF	yfgB
rpsG	yfgB
secA	yfgB
selB	yfgB
srmB	yfgB
tsr	yfgB
tufB	yfgB
ycbY	yfgB
ydcP	yfgB
