proteinA	proteinB
yjdA	cysB
cysN	cysD
nadE	cysE
nadE	cysG
groL	cysH
ycbX	cysI
cysJ	cysJ
ycbX	cysJ
cysE	cysK
accC	cysM
dnaK	cysP
crp	cytR
yfaY	dacA
yaeT	damX
dapA	dapA
groL	dapE
hemX	dapE
groS	dcd
aceF	dcm
ycdP	dcm
yliL	dcm
dcrB	dcrB
osmY	dcrB
ycbL	dcrB
dcuS	dcuR
lysA	dcuR
sdhA	dcuS
deaD	deaD
fucO	def
rplD	def
dnaK	degP
rseA	degS
pbpG	der
rplA	dfp
dgoR	dgoR
ptsG	dgsA
yqaB	dgsA
uvrD	dgt
cyaA	dhaH
cysP	dhaH
maeB	dhaH
mtlA	dhaH
fepE	dhaK
guaC	dhaK
dhaK	dhaR
folA	dicB
JW0653	dicB
minC	dicB
nadE	dicB
ribD	dicB
thiL	dicB
recA	dinI
dinJ	dinJ
holA	dinJ
yafQ	dinJ
dsbC	dipZ
greA	dksA
dmsD	dmsA
soxR	dmsB
yibT	dmsB
torA	dmsD
ynfE	dmsD
ynfF	dmsD
adhE	dnaA
cca	dnaA
creC	dnaA
dnaA	dnaA
dnaJ	dnaA
dnaN	dnaA
dnaX	dnaA
dps	dnaA
hda	dnaA
hupA	dnaA
nadE	dnaA
rpoB	dnaA
rpsG	dnaA
tufB	dnaA
dnaA	dnaB
dnaC	dnaB
dnaG	dnaB
dnaJ	dnaB
priC	dnaB
tsf	dnaC
dnaN	dnaE
dnaX	dnaE
evgS	dnaE
holA	dnaE
holC	dnaE
holD	dnaE
hrpB	dnaE
tufB	dnaE
ybdL	dnaE
dnaK	dnaJ
glmS	dnaJ
glyQ	dnaJ
grpE	dnaJ
kdsB	dnaJ
malT	dnaJ
mukB	dnaJ
narG	dnaJ
recJ	dnaJ
rpsF	dnaJ
selB	dnaJ
srmB	dnaJ
tufB	dnaJ
uspG	dnaJ
fabF	dnaK
moeB	dnaK
rne	dnaK
dnaN	dnaN
mutL	dnaN
mutS	dnaN
accA	dnaQ
dnaE	dnaQ
dnaQ	dnaQ
dnaX	dnaQ
holA	dnaQ
holC	dnaQ
holD	dnaQ
holE	dnaQ
tufB	dnaQ
yifE	dnaQ
atpH	dnaX
bglG	dnaX
dnaN	dnaX
dnaX	dnaX
fic	dnaX
holA	dnaX
holD	dnaX
hslR	dnaX
iscU	dnaX
rplA	dnaX
rraA	dnaX
trxB	dnaX
ompF	dos
mtlD	dppA
cspD	dppD
ddpB	dppD
murI	dppF
yohC	dppF
clpA	dps
clpS	dps
rpsB	dsbA
dsbA	dsbB
dsbB	dsbC
ydbC	dsbG
grpE	dsdX
flgF	dsrB
pmrD	dsrB
groL	dusB
groL	dusC
intA	dusC
recG	dusC
secA	dusC
ydaY	dusC
tufB	dxs
yjgL	dxs
yncC	ebgC
ebgA	eda
eda	eda
groL	ego
yfcN	ego
mazG	elaB
rpoB	elbB
emrA	emrA
grpE	emrY
rne	eno
entB	entB
ybdB	entB
dusC	entE
entB	entE
entB	entF
prmA	envR
ompR	envZ
groL	epd
zipA	eptA
mazG	era
tufB	era
pheS	erfK
prsA	erfK
eutC	eutA
rsgA	eutA
groL	eutB
alsB	eutC
atpH	eutC
bglG	eutC
bioB	eutC
citB	eutC
dnaG	eutC
elbB	eutC
eutA	eutC
fliG	eutC
glcD	eutC
hcp	eutC
hemH	eutC
hslR	eutC
idnK	eutC
malT	eutC
moaE	eutC
nikR	eutC
uvrB	eutC
yaiE	eutC
ybjN	eutC
yceP	eutC
yebW	eutC
yffB	eutC
groL	eutG
glmS	eutH
eutQ	eutI
pheA	eutI
eutQ	eutQ
flxA	eutQ
mdh	eutQ
evgS	evgA
exbB	exbB
nuoG	exbB
tolB	exbB
exbB	exbD
exbD	exbD
glvB	exbD
gspH	exbD
tolB	exbD
acpP	fabH
yjgD	fabI
fadR	fabR
murB	fadH
narH	fadH
narW	fadH
fadL	fadL
dnaK	fbaA
fbaA	fbaA
aceF	fdhD
fdnG	fdhE
fdoG	fdhE
fdnH	fdnG
tufB	fdnG
udp	fdoG
fdoG	fdoH
iscA	fdx
fecR	fecA
dnaQ	fecB
dnaX	fecB
groL	fecE
rpoC	fecI
fecI	fecR
fliK	feoA
yheS	feoA
feoB	feoB
fepA	fepA
fepC	fepC
ftsY	ffh
fusA	ffh
msrA	ffh
evgA	fhlA
fhlA	fhlA
groL	fhlA
tolB	fhuA
lolD	fhuC
accD	fhuF
argK	fhuF
atpG	fhuF
citE	fhuF
hisF	fhuF
hupB	fhuF
lysR	fhuF
nikR	fhuF
NoData	fhuF
pdhR	fhuF
trxA	fhuF
ybcQ	fhuF
yedD	fhuF
yihL	fhuF
fic	fic
fimC	fimD
fimH	fimD
fimC	fimG
fimF	fimG
fimC	fimH
glnL	fimZ
ptsI	fimZ
uvrB	fimZ
rpoA	fis
yebV	fis
yhbT	fis
fixB	fixA
trxA	fixA
ybhF	fixA
malT	fixB
fepE	fixC
aroB	fixX
aroF	fixX
clpA	fixX
cpdA	fixX
elbB	fixX
entF	fixX
fliM	fixX
folA	fixX
galE	fixX
galK	fixX
hcaD	fixX
holA	fixX
hyi	fixX
insO	fixX
mhpB	fixX
mhpF	fixX
mmuM	fixX
murB	fixX
nikR	fixX
NoData	fixX
pdxA	fixX
pin	fixX
ribD	fixX
sgbE	fixX
thrC	fixX
trpC	fixX
truA	fixX
uidR	fixX
ung	fixX
xylH	fixX
yaiE	fixX
yaiI	fixX
ybdH	fixX
ybdL	fixX
ydcY	fixX
ydiU	fixX
yedJ	fixX
yfbG	fixX
yggS	fixX
yggW	fixX
yhbT	fixX
yhhH	fixX
yhiQ	fixX
yibF	fixX
yibT	fixX
yjfN	fixX
ynaI	fixX
yqjG	fixX
fklB	fklB
entE	fkpA
yeiT	fkpA
fpr	fldB
topA	flgA
cheR	flgC
flgD	flgC
fliA	flgC
rpe	flgC
nadE	flgE
flgH	flgF
glpQ	flgF
metK	flgF
mraZ	flgF
glpQ	flgG
cheW	flgH
flgK	flgH
fliG	flgH
fliI	flgH
fliM	flgH
tig	flgH
ebgA	flgI
flgH	flgI
flgJ	flgJ
fliI	flgJ
fliM	flgJ
rpoE	flgJ
tar	flgJ
rpsB	flgK
flgH	flgL
flgN	flgL
fliD	flgL
fliI	flgL
cheA	flgM
flgE	flgM
gyrA	flgM
nrdB	flgM
yjeK	flgM
atpH	flgN
flgK	flgN
fliA	flgN
recJ	flhA
flgG	flhB
fliG	flhB
flhD	flhC
cheR	flhD
flhD	flhD
fliG	flhD
rpoE	flhD
flhD	flhE
ydbK	flhE
flgM	fliA
flhD	fliA
fliI	fliA
katE	fliA
kbaY	fliA
mraZ	fliA
proS	fliA
yjeK	fliA
NoData	fliC
flgI	fliD
cheZ	fliE
flhB	fliE
sdhA	fliF
fliF	fliG
fliM	fliG
ypfG	fliG
fliI	fliH
topA	fliH
cheR	fliI
flhD	fliI
fliG	fliI
fliI	fliI
fliN	fliI
metK	fliI
proS	fliI
rpe	fliI
rpoE	fliI
malT	fliJ
fliM	fliL
cheZ	fliM
fliF	fliM
fliM	fliM
glpQ	fliM
rpe	fliM
cheR	fliN
fliM	fliN
fliN	fliN
proS	fliN
rpe	fliN
fliL	fliO
